"sequencial","dataadmissao","transferido","codigoatleta","codigoclube"
15520,2015-12-11,false,19207,42
15521,2015-12-11,false,19208,42
15522,2015-12-11,false,19209,42
15523,2015-12-20,false,19210,15
15524,2015-12-20,false,19211,15
15525,2015-12-20,false,19212,15
15526,2015-12-20,false,19213,15
15527,2015-12-20,false,19214,15
15528,2016-01-20,false,19215,24
15529,2016-01-20,false,19216,24
15530,2016-01-20,false,19217,24
15531,2016-01-20,false,19218,24
15532,2016-01-20,false,19219,24
15533,2016-01-20,false,19221,24
15534,2016-01-20,false,19222,24
15535,2016-01-20,false,19223,24
15536,2016-01-20,false,19224,24
15537,2016-01-20,false,19225,24
15538,2015-12-28,false,19230,15
15539,2015-12-28,false,19231,15
15540,2015-12-28,false,19232,15
15541,2015-12-28,false,19233,15
15542,2015-12-28,false,19234,15
15543,2015-12-28,false,19235,15
15544,2015-12-28,false,19236,15
15545,2015-12-28,false,19237,15
15546,2015-12-17,false,19238,18
15547,2015-12-17,false,19239,18
15548,2016-03-19,false,19240,28
15549,2015-12-20,false,19241,28
15550,2015-12-20,false,19245,28
15551,2016-03-19,false,19246,24
15552,2016-04-02,false,19249,23
15553,2016-04-02,false,19250,23
15554,2016-04-02,false,19251,23
20158,2021-09-20,false,24080,25
15556,1900-01-01,false,19254,23
15557,2016-04-02,false,19257,23
15558,2016-04-02,false,19258,23
15559,2016-04-02,false,19259,23
15560,2016-04-10,false,19260,38
15561,2016-04-10,false,19261,38
15562,2016-04-10,false,19262,38
15563,2016-04-10,false,19263,38
15564,2016-04-10,false,19264,12
18833,2019-04-08,false,20847,53
15566,2016-04-10,false,19266,12
15567,2016-04-10,false,19267,12
18836,2019-04-08,false,21316,53
15569,2016-04-10,false,19269,12
15570,2016-04-10,false,19270,12
15571,2016-04-10,false,19271,12
15572,2016-04-10,false,19272,12
15573,2016-04-10,false,19273,12
15574,2016-04-10,false,19274,12
15575,2016-04-10,false,19275,12
15576,1900-01-01,false,19276,12
15577,2016-04-10,false,19278,12
15578,2016-04-10,false,19279,12
15579,2016-04-10,false,19280,12
15580,2016-04-10,false,19281,12
15581,2016-04-10,false,19282,12
15582,2016-04-10,false,19283,12
15583,2016-04-10,false,19288,12
15584,2016-04-10,false,19289,12
15585,2016-04-10,false,19290,12
15586,2016-04-10,false,19292,12
15587,2016-04-10,false,19293,12
15588,2016-04-10,false,19294,12
15589,2016-04-17,false,19295,47
15590,2016-04-17,false,19296,47
15591,2016-04-17,false,19298,47
15592,2016-05-07,false,19299,31
15593,2016-05-07,false,19300,31
15594,2016-05-07,false,19301,31
15595,2016-05-07,false,19302,31
15596,2016-05-07,false,19303,31
15597,2016-05-07,false,19304,31
15598,2016-05-07,false,19305,31
15599,2016-05-07,false,19306,31
15600,2016-05-07,false,19307,31
15601,2016-05-07,false,19308,31
15602,2017-08-26,false,19310,31
15603,2016-05-07,false,19311,31
15604,2016-04-10,false,19312,12
15605,2016-04-30,false,19313,24
15606,1900-01-01,false,19314,24
15607,2016-04-30,false,19316,24
15608,2016-04-30,false,19317,24
15609,2016-04-30,false,19318,24
15610,2016-04-30,false,19319,24
15611,1900-01-01,false,19320,24
15612,2016-04-30,false,19322,24
15613,2016-04-30,false,19323,24
15614,2016-04-30,false,19324,24
15615,2016-04-30,false,19325,24
15616,2016-04-30,false,19326,24
15617,2016-04-30,false,19327,24
15618,2016-10-09,false,19328,46
15619,2016-04-30,false,19330,46
15620,2016-04-30,false,19331,46
15621,2016-05-26,false,19332,31
15622,2016-05-26,false,19333,31
15623,2016-05-26,false,19334,31
15624,2016-05-26,false,19335,31
15625,2016-05-26,false,19336,31
15626,2016-05-26,false,19337,31
15627,2016-05-26,false,19338,31
15628,2016-05-26,false,19339,31
15629,2016-05-26,false,19340,31
15630,2016-05-26,false,19341,31
15631,2016-05-26,false,19342,31
15632,2016-05-26,false,19343,31
15633,2016-05-26,false,19344,31
15634,2016-05-26,false,19345,31
15635,2016-11-12,false,19346,31
15636,2016-05-26,false,19348,31
15637,2016-05-26,false,19359,31
15638,2016-05-26,false,19360,31
15639,2016-05-26,false,19361,31
15640,2016-05-26,false,19362,31
15641,2016-05-26,false,19363,31
15642,2016-05-26,false,19364,31
15643,2016-05-26,false,19365,31
15644,2016-05-26,false,19366,31
15645,2016-05-26,false,19367,31
15646,2016-05-26,false,19368,31
15647,2016-05-26,false,19369,31
15648,2016-06-04,false,19370,31
15649,2016-06-04,false,19371,31
15650,2016-06-04,false,19372,31
15651,1900-01-01,false,19374,10
15652,2016-06-04,false,19376,10
15653,2016-05-28,false,19377,27
15654,2016-05-28,false,19378,27
15655,2016-05-28,false,19379,27
15656,2016-05-28,false,19380,27
15657,2016-06-05,false,19381,28
15658,2016-06-05,false,19382,28
15659,2016-06-05,false,19383,28
15660,2016-06-05,false,19384,28
15661,2016-06-05,false,19385,28
15662,1900-01-01,false,19386,28
15663,2016-06-05,false,19388,28
15664,2016-06-05,false,19389,28
15665,2016-06-05,false,19390,28
15666,1900-01-01,false,19391,28
15667,1900-01-01,false,19393,28
15668,2016-06-05,false,19396,28
15669,2016-06-05,false,19397,28
15670,2016-06-05,false,19398,28
15671,2016-06-05,false,19399,28
15672,2016-06-05,false,19400,28
15673,2016-06-05,false,19401,28
15674,2016-06-05,false,19402,28
15675,2016-06-05,false,19403,28
15676,2016-06-05,false,19404,28
